iter	Passed	Remaining
698	11075	4769
699	11090	4753
700	11105	4736
701	11116	4718
702	11127	4701
703	11155	4690
704	11172	4675
705	11185	4657
706	11196	4640
707	11208	4622
708	11224	4606
709	11241	4591
710	11254	4574
711	11268	4557
712	11283	4541
713	11298	4525
714	11309	4507
715	11321	4490
716	11353	4481
717	11374	4467
718	11386	4450
719	11401	4433
720	11420	4419
721	11432	4401
722	11450	4386
723	11464	4370
724	11475	4352
725	11492	4337
726	11502	4319
727	11514	4302
728	11529	4285
729	11542	4269
730	11567	4256
731	11588	4242
732	11603	4226
733	11622	4211
734	11634	4194
735	11646	4177
736	11659	4160
737	11677	4145
738	11691	4129
739	11706	4113
740	11718	4095
741	11728	4078
742	11740	4060
743	11750	4043
744	11762	4026
745	11793	4015
746	11810	4000
747	11826	3984
748	11843	3968
749	11855	3951
750	11868	3935
751	11878	3917
752	11893	3901
753	11912	3886
754	11926	3870
755	11940	3853
756	11954	3837
757	11964	3819
758	11974	3802
759	12006	3791
760	12026	3777
761	12041	3761
762	12062	3746
763	12076	3730
764	12088	3713
765	12099	3696
766	12111	3679
767	12128	3663
768	12144	3648
769	12156	3631
770	12167	3613
771	12181	3597
772	12191	3580
773	12213	3566
774	12233	3551
775	12248	3535
776	12267	3520
777	12279	3503
778	12293	3487
779	12303	3470
780	12318	3454
781	12334	3438
782	12346	3421
783	12358	3404
784	12368	3387
785	12383	3371
786	12403	3356
787	12415	3340
788	12434	3325
789	12459	3311
790	12479	3297
791	12495	3281
792	12510	3265
793	12523	3249
794	12540	3233
795	12551	3216
796	12561	3199
797	12577	3183
798	12592	3167
799	12605	3151
800	12620	3135
801	12636	3119
802	12657	3105
803	12674	3089
804	12690	3074
805	12703	3057
806	12716	3041
807	12727	3024
808	12743	3008
809	12759	2993
810	12772	2976
811	12784	2960
812	12800	2944
813	12816	2928
814	12825	2911
815	12842	2895
816	12867	2882
817	12881	2866
818	12897	2850
819	12908	2833
820	12923	2817
821	12935	2801
822	12946	2784
823	12956	2767
824	12971	2751
825	12988	2736
826	13000	2719
827	13014	2703
828	13027	2687
829	13038	2670
830	13065	2657
831	13084	2642
832	13096	2625
833	13110	2609
834	13120	2592
835	13137	2577
836	13153	2561
837	13163	2544
838	13178	2528
839	13191	2512
840	13203	2496
841	13215	2479
842	13227	2463
843	13244	2447
844	13260	2432
845	13293	2419
846	13311	2404
847	13323	2388
848	13335	2371
849	13345	2355
850	13360	2339
851	13373	2323
852	13389	2307
853	13399	2290
854	13413	2274
855	13425	2258
856	13436	2241
857	13446	2225
858	13460	2209
859	13475	2193
860	13487	2177
861	13512	2163
862	13532	2148
863	13547	2132
864	13562	2116
865	13578	2101
866	13592	2085
867	13606	2069
868	13619	2053
869	13630	2036
870	13652	2021
871	13663	2005
872	13676	1989
873	13689	1973
874	13705	1957
875	13725	1942
876	13744	1927
877	13767	1912
878	13782	1897
879	13793	1880
880	13808	1865
881	13821	1849
882	13833	1833
883	13847	1817
884	13867	1801
885	13885	1786
886	13896	1770
887	13907	1754
888	13921	1738
889	13948	1723
890	13972	1709
891	13988	1693
892	14001	1677
893	14016	1661
894	14031	1646
895	14043	1630
896	14053	1613
897	14069	1598
898	14087	1582
899	14099	1566
900	14117	1551
901	14132	1535
902	14150	1520
903	14173	1505
904	14193	1489
905	14205	1473
906	14216	1457
907	14232	1442
908	14249	1426
909	14261	1410
910	14274	1394
911	14284	1378
912	14298	1362
913	14313	1346
914	14327	1330
915	14339	1314
916	14356	1299
